date,site,
1/1/20,13,
1/2/20,24,
1/3/20,27,
1/4/20,19,
1/5/20,10,
1/6/20,30,
1/7/20,30,
1/8/20,31,
1/9/20,23,
1/10/20,27,
1/11/20,5,
1/12/20,23,
1/13/20,24,
1/14/20,28,
1/15/20,26,
1/16/20,27,
1/17/20,31,
1/18/20,13,
1/19/20,14,
1/20/20,41,
1/21/20,47,
1/22/20,23,
1/23/20,32,
1/24/20,29,
1/25/20,19,
1/26/20,19,
1/27/20,29,
1/28/20,31,
1/29/20,31,
1/30/20,34,
1/31/20,26,
2/1/20,16,
2/2/20,25,
2/3/20,38,
2/4/20,3,
2/5/20,11,
2/6/20,8,
2/7/20,36,
2/8/20,28,
2/9/20,18,
2/10/20,39,
2/11/20,33,
2/12/20,34,
2/13/20,28,
2/14/20,32,
2/15/20,15,
2/16/20,41,
2/17/20,40,
2/18/20,22,
2/19/20,27,
2/20/20,25,
2/21/20,36,
2/22/20,15,
2/23/20,29,
2/24/20,26,
2/25/20,11,
2/26/20,10,
2/27/20,30,
2/28/20,38,
2/29/20,27,
3/1/20,21,
3/2/20,41,
3/3/20,32,
3/4/20,44,
3/5/20,37,
3/6/20,9,
3/7/20,38,
3/8/20,17,
3/9/20,21,
3/10/20,29,
3/11/20,25,
3/12/20,27,
3/13/20,27,
3/14/20,9,
3/15/20,33,
3/16/20,40,
3/17/20,49,
3/18/20,32,
3/19/20,25,
3/20/20,10,
3/21/20,29,
3/22/20,29,
3/23/20,34,
3/24/20,37,
3/25/20,41,
3/26/20,26,
3/27/20,25,
3/28/20,24,
3/29/20,10,
3/30/20,25,
3/31/20,4,
4/1/20,25,
4/2/20,37,
4/3/20,40,
4/4/20,16,
4/5/20,17,
4/6/20,39,
4/7/20,28,
4/8/20,23,
4/9/20,7,
4/10/20,35,
4/11/20,29,
4/12/20,13,
4/13/20,26,
4/14/20,34,
4/15/20,37,
4/16/20,32,
4/17/20,38,
4/18/20,21,
4/19/20,29,
4/20/20,40,
4/21/20,41,
4/22/20,39,
4/23/20,27,
4/24/20,14,
4/25/20,20,
4/26/20,29,
4/27/20,33,
4/28/20,N/A,
4/29/20,28,
4/30/20,18,
5/1/20,39,
5/2/20,36,
5/3/20,39,
5/4/20,3,
5/5/20,23,
5/6/20,33,
5/7/20,37,
5/8/20,24,
5/9/20,25,
5/10/20,14,
5/11/20,27,
5/12/20,28,
5/13/20,44,
5/14/20,27,
5/15/20,43,
5/16/20,8,
5/17/20,24,
5/18/20,30,
5/19/20,14,
5/20/20,30,
5/21/20,26,
5/22/20,26,
5/23/20,23,
5/24/20,21,
5/25/20,25,
5/26/20,35,
5/27/20,34,
5/28/20,29,
5/29/20,36,
5/30/20,18,
5/31/20,28,
6/1/20,29,
6/2/20,29,
6/3/20,40,
6/4/20,34,
6/5/20,31,
6/6/20,16,
6/7/20,15,
6/8/20,42,
6/9/20,28,
6/10/20,24,
6/11/20,32,
6/12/20,36,
6/13/20,7,
6/14/20,9,
6/15/20,25,
6/16/20,34,
6/17/20,50,
6/18/20,46,
6/19/20,55,
6/20/20,42,
6/21/20,27,
6/22/20,36,
6/23/20,19,
6/24/20,33,
6/25/20,35,
6/26/20,32,
6/27/20,17,
6/28/20,30,
6/29/20,34,
6/30/20,25,
7/1/20,29,
7/2/20,23,
7/3/20,31,
7/4/20,29,
7/5/20,29,
7/6/20,42,
7/7/20,33,
7/8/20,30,
7/9/20,29,
7/10/20,27,
7/11/20,28,
7/12/20,12,
7/13/20,29,
7/14/20,30,
7/15/20,38,
7/16/20,36,
7/17/20,25,
7/18/20,12,
7/19/20,24,
7/20/20,19,
7/21/20,27,
7/22/20,27,
7/23/20,22,
7/24/20,36,
7/25/20,23,
7/26/20,14,
7/27/20,25,
7/28/20,27,
7/29/20,34,
7/30/20,25,
7/31/20,17,
8/1/20,19,
8/2/20,24,
8/3/20,21,
8/4/20,26,
8/5/20,33,
8/6/20,38,
8/7/20,31,
8/8/20,25,
8/9/20,22,
8/10/20,29,
8/11/20,25,
8/12/20,24,
8/13/20,34,
8/14/20,23,
8/15/20,26,
8/16/20,33,
8/17/20,33,
8/18/20,26,
8/19/20,30,
8/20/20,33,
8/21/20,33,
8/22/20,29,
8/23/20,28,
8/24/20,40,
8/25/20,42,
8/26/20,29,
8/27/20,25,
8/28/20,22,
8/29/20,26,
8/30/20,25,
8/31/20,27,
9/1/20,28,
9/2/20,28,
9/3/20,27,
9/4/20,28,
9/5/20,24,
9/6/20,14,
9/7/20,14,
9/8/20,21,
9/9/20,5,
9/10/20,7,
9/11/20,20,
9/12/20,13,
9/13/20,17,
9/14/20,29,
9/15/20,32,
9/16/20,34,
9/17/20,6,
9/18/20,26,
9/19/20,36,
9/20/20,36,
9/21/20,47,
9/22/20,42,
9/23/20,42,
9/24/20,46,
9/25/20,44,
9/26/20,13,
9/27/20,10,
9/28/20,22,
9/29/20,21,
9/30/20,28,
10/1/20,23,
10/2/20,33,
10/3/20,20,
10/4/20,25,
10/5/20,33,
10/6/20,40,
10/7/20,39,
10/8/20,37,
10/9/20,35,
10/10/20,13,
10/11/20,31,
10/12/20,32,
10/13/20,31,
10/14/20,32,
10/15/20,21,
10/16/20,30,
10/17/20,22,
10/18/20,18,
10/19/20,25,
10/20/20,33,
10/21/20,21,
10/22/20,24,
10/23/20,16,
10/24/20,13,
10/25/20,24,
10/26/20,23,
10/27/20,28,
10/28/20,28,
10/29/20,25,
10/30/20,37,
10/31/20,28,
11/1/20,12,
11/2/20,27,
11/3/20,29,
11/4/20,32,
11/5/20,37,
11/6/20,41,
11/7/20,26,
11/8/20,22,
11/9/20,26,
11/10/20,18,
11/11/20,33,
11/12/20,34,
11/13/20,27,
11/14/20,24,
11/15/20,12,
11/16/20,29,
11/17/20,32,
11/18/20,26,
11/19/20,21,
11/20/20,29,
11/21/20,14,
11/22/20,23,
11/23/20,36,
11/24/20,24,
11/25/20,31,
11/26/20,14,
11/27/20,20,
11/28/20,25,
11/29/20,18,
11/30/20,9,
12/1/20,27,
12/2/20,36,
12/3/20,27,
12/4/20,19,
12/5/20,29,
12/6/20,28,
12/7/20,29,
12/8/20,27,
12/9/20,35,
12/10/20,34,
12/11/20,33,
12/12/20,15,
12/13/20,19,
12/14/20,25,
12/15/20,34,
12/16/20,29,
12/17/20,32,
12/18/20,25,
12/19/20,18,
12/20/20,18,
12/21/20,19,
12/22/20,25,
12/23/20,20,
12/24/20,13,
12/25/20,9,
12/26/20,29,
12/27/20,22,
12/28/20,25,
12/29/20,30,
12/30/20,21,
12/31/20,31,
1/1/21,25,
1/2/21,24,
1/3/21,26,
1/4/21,25,
1/5/21,30,
1/6/21,32,
1/7/21,28,
1/8/21,16,
1/9/21,34,
1/10/21,29,
1/11/21,26,
1/12/21,24,
1/13/21,22,
1/14/21,24,
1/15/21,29,
1/16/21,19,
1/17/21,21,
1/18/21,25,
1/19/21,32,
1/20/21,33,
1/21/21,31,
1/22/21,24,
1/23/21,36,
1/24/21,17,
1/25/21,23,
1/26/21,10,
1/27/21,25,
1/28/21,41,
1/29/21,40,
1/30/21,17,
1/31/21,14,
2/1/21,39,
2/2/21,36,
2/3/21,41,
2/4/21,34,
2/5/21,25,
2/6/21,24,
2/7/21,28,
2/8/21,42,
2/9/21,42,
2/10/21,42,
2/11/21,40,
2/12/21,39,
2/13/21,30,
2/14/21,25,
2/15/21,30,
2/16/21,35,
2/17/21,44,
2/18/21,47,
2/19/21,43,
2/20/21,42,
2/21/21,27,
2/22/21,35,
2/23/21,39,
2/24/21,44,
2/25/21,43,
2/26/21,46,
2/27/21,25,
2/28/21,15,
3/1/21,44,
3/2/21,42,
3/3/21,29,
3/4/21,26,
3/5/21,44,
3/6/21,40,
3/7/21,34,
3/8/21,51,
3/9/21,34,
3/10/21,27,
3/11/21,23,
3/12/21,31,
3/13/21,37,
3/14/21,35,
3/15/21,30,
3/16/21,19,
3/17/21,27,
3/18/21,8,
3/19/21,32,
3/20/21,40,
3/21/21,30,
3/22/21,38,
3/23/21,34,
3/24/21,25,
3/25/21,30,
3/26/21,30,
3/27/21,16,
