date,site
1/1/20,20
1/2/20,26
1/3/20,25
1/4/20,19
1/5/20,19
1/6/20,27
1/7/20,26
1/8/20,25
1/9/20,32
1/10/20,27
1/11/20,11
1/12/20,21
1/13/20,22
1/14/20,26
1/15/20,30
1/16/20,31
1/17/20,35
1/18/20,21
1/19/20,28
1/20/20,29
1/21/20,37
1/22/20,35
1/23/20,27
1/24/20,31
1/25/20,18
1/26/20,19
1/27/20,29
1/28/20,25
1/29/20,28
1/30/20,42
1/31/20,33
2/1/20,26
2/2/20,20
2/3/20,24
2/4/20,14
2/5/20,15
2/6/20,15
2/7/20,34
2/8/20,29
2/9/20,27
2/10/20,24
2/11/20,30
2/12/20,43
2/13/20,19
2/14/20,42
2/15/20,28
2/16/20,31
2/17/20,38
2/18/20,23
2/19/20,25
2/20/20,26
2/21/20,43
2/22/20,30
2/23/20,28
2/24/20,23
2/25/20,17
2/26/20,18
2/27/20,28
2/28/20,25
2/29/20,21
3/1/20,25
3/2/20,31
3/3/20,29
3/4/20,27
3/5/20,40
3/6/20,17
3/7/20,30
3/8/20,28
3/9/20,26
3/10/20,21
3/11/20,34
3/12/20,31
3/13/20,19
3/14/20,16
3/15/20,17
3/16/20,30
3/17/20,24
3/18/20,34
3/19/20,19
3/20/20,15
3/21/20,15
3/22/20,23
3/23/20,25
3/24/20,36
3/25/20,47
3/26/20,23
3/27/20,23
3/28/20,20
3/29/20,14
3/30/20,19
3/31/20,14
4/1/20,20
4/2/20,36
4/3/20,40
4/4/20,18
4/5/20,19
4/6/20,42
4/7/20,39
4/8/20,31
4/9/20,27
4/10/20,25
4/11/20,39
4/12/20,23
4/13/20,19
4/14/20,23
4/15/20,21
4/16/20,25
4/17/20,22
4/18/20,28
4/19/20,20
4/20/20,31
4/21/20,23
4/22/20,44
4/23/20,44
4/24/20,33
4/25/20,22
4/26/20,20
4/27/20,44
4/28/20,32
4/29/20,14
4/30/20,14
5/1/20,30
5/2/20,33
5/3/20,28
5/4/20,15
5/5/20,19
5/6/20,32
5/7/20,32
5/8/20,15
5/9/20,27
5/10/20,18
5/11/20,24
5/12/20,31
5/13/20,44
5/14/20,31
5/15/20,19
5/16/20,21
5/17/20,19
5/18/20,23
5/19/20,20
5/20/20,25
5/21/20,34
5/22/20,37
5/23/20,31
5/24/20,26
5/25/20,24
5/26/20,44
5/27/20,43
5/28/20,31
5/29/20,30
5/30/20,23
5/31/20,22
6/1/20,54
6/2/20,45
6/3/20,38
6/4/20,37
6/5/20,45
6/6/20,30
6/7/20,27
6/8/20,51
6/9/20,52
6/10/20,52
6/11/20,29
6/12/20,38
6/13/20,20
6/14/20,23
6/15/20,32
6/16/20,41
6/17/20,49
6/18/20,56
6/19/20,64
6/20/20,62
6/21/20,27
6/22/20,37
6/23/20,24
6/24/20,24
6/25/20,31
6/26/20,54
6/27/20,25
6/28/20,29
6/29/20,52
6/30/20,42
7/1/20,39
7/2/20,38
7/3/20,39
7/4/20,65
7/5/20,56
7/6/20,56
7/7/20,53
7/8/20,49
7/9/20,55
7/10/20,24
7/11/20,23
7/12/20,17
7/13/20,29
7/14/20,51
7/15/20,54
7/16/20,25
7/17/20,46
7/18/20,44
7/19/20,20
7/20/20,15
7/21/20,N/A
7/22/20,27
7/23/20,23
7/24/20,31
7/25/20,48
7/26/20,29
7/27/20,25
7/28/20,31
7/29/20,33
7/30/20,34
7/31/20,25
8/1/20,24
8/2/20,25
8/3/20,20
8/4/20,19
8/5/20,47
8/6/20,36
8/7/20,58
8/8/20,42
8/9/20,30
8/10/20,40
8/11/20,27
8/12/20,45
8/13/20,40
8/14/20,39
8/15/20,38
8/16/20,22
8/17/20,29
8/18/20,22
8/19/20,31
8/20/20,72
8/21/20,55
8/22/20,56
8/23/20,36
8/24/20,60
8/25/20,47
8/26/20,59
8/27/20,36
8/28/20,51
8/29/20,27
8/30/20,19
8/31/20,53
9/1/20,25
9/2/20,36
9/3/20,44
9/4/20,42
9/5/20,35
9/6/20,28
9/7/20,26
9/8/20,14
9/9/20,17
9/10/20,16
9/11/20,23
9/12/20,24
9/13/20,20
9/14/20,39
9/15/20,60
9/16/20,45
9/17/20,23
9/18/20,20
9/19/20,39
9/20/20,40
9/21/20,54
9/22/20,81
9/23/20,71
9/24/20,69
9/25/20,69
9/26/20,60
9/27/20,35
9/28/20,25
9/29/20,27
9/30/20,36
10/1/20,23
10/2/20,23
10/3/20,30
10/4/20,19
10/5/20,68
10/6/20,53
10/7/20,47
10/8/20,58
10/9/20,65
10/10/20,37
10/11/20,31
10/12/20,12
10/13/20,N/A
10/14/20,70
10/15/20,38
10/16/20,52
10/17/20,69
10/18/20,24
10/19/20,27
10/20/20,27
10/21/20,30
10/22/20,33
10/23/20,20
10/24/20,17
10/25/20,17
10/26/20,23
10/27/20,27
10/28/20,44
10/29/20,22
10/30/20,32
10/31/20,51
11/1/20,29
11/2/20,38
11/3/20,70
11/4/20,103
11/5/20,73
11/6/20,74
11/7/20,45
11/8/20,33
11/9/20,54
11/10/20,52
11/11/20,31
11/12/20,52
11/13/20,31
11/14/20,34
11/15/20,22
11/16/20,30
11/17/20,24
11/18/20,53
11/19/20,98
11/20/20,40
11/21/20,23
11/22/20,27
11/23/20,30
11/24/20,29
11/25/20,20
11/26/20,18
11/27/20,22
11/28/20,19
11/29/20,19
11/30/20,19
12/1/20,26
12/2/20,32
12/3/20,42
12/4/20,38
12/5/20,25
12/6/20,26
12/7/20,37
12/8/20,34
12/9/20,51
12/10/20,66
12/11/20,39
12/12/20,12
12/13/20,17
12/14/20,24
12/15/20,24
12/16/20,27
12/17/20,33
12/18/20,42
12/19/20,32
12/20/20,29
12/21/20,33
12/22/20,26
12/23/20,46
12/24/20,22
12/25/20,17
12/26/20,26
12/27/20,31
12/28/20,20
12/29/20,32
12/30/20,21
12/31/20,N/A
1/1/21,26
1/2/21,22
1/3/21,22
1/4/21,9
1/5/21,N/A
1/6/21,40
1/7/21,20
1/8/21,16
1/9/21,21
1/10/21,31
1/11/21,30
1/12/21,34
1/13/21,37
1/14/21,31
1/15/21,23
1/16/21,20
1/17/21,19
1/18/21,23
1/19/21,31
1/20/21,31
1/21/21,27
1/22/21,22
1/23/21,31
1/24/21,31
1/25/21,26
1/26/21,14
1/27/21,21
1/28/21,49
1/29/21,52
1/30/21,28
1/31/21,19
2/1/21,19
2/2/21,25
2/3/21,37
2/4/21,27
2/5/21,21
2/6/21,27
2/7/21,31
2/8/21,44
2/9/21,46
2/10/21,45
2/11/21,35
2/12/21,41
2/13/21,19
2/14/21,29
2/15/21,19
2/16/21,14
2/17/21,20
2/18/21,19
2/19/21,36
2/20/21,52
2/21/21,38
2/22/21,28
2/23/21,27
2/24/21,29
2/25/21,30
2/26/21,39
2/27/21,34
2/28/21,24
3/1/21,25
3/2/21,50
3/3/21,33
3/4/21,19
3/5/21,33
3/6/21,38
3/7/21,32
3/8/21,56
3/9/21,61
3/10/21,53
3/11/21,24
3/12/21,30
3/13/21,35
3/14/21,26
3/15/21,36
3/16/21,26
3/17/21,33
3/18/21,15
3/19/21,24
3/20/21,40
3/21/21,32
3/22/21,51
3/23/21,52
3/24/21,24
3/25/21,12
3/26/21,28
3/27/21,33
