date,site,
1/1/20,1,
1/2/20,1,
1/3/20,1,
1/4/20,1,
1/5/20,3,
1/6/20,3,
1/7/20,3,
1/8/20,3,
1/9/20,1,
1/10/20,0,
1/11/20,0,
1/12/20,0,
1/13/20,0,
1/14/20,0,
1/15/20,24,
1/16/20,3,
1/17/20,3,
1/18/20,1,
1/19/20,1,
1/20/20,3,
1/21/20,3,
1/22/20,1,
1/23/20,1,
1/24/20,3,
1/25/20,1,
1/26/20,1,
1/27/20,1,
1/28/20,1,
1/29/20,4,
1/30/20,1,
1/31/20,1,
2/1/20,1,
2/2/20,1,
2/3/20,7,
2/4/20,1,
2/5/20,1,
2/6/20,1,
2/7/20,3,
2/8/20,3,
2/9/20,1,
2/10/20,1,
2/11/20,1,
2/12/20,1,
2/13/20,1,
2/14/20,3,
2/15/20,1,
2/16/20,6,
2/17/20,4,
2/18/20,1,
2/19/20,0,
2/20/20,0,
2/21/20,3,
2/22/20,3,
2/23/20,3,
2/24/20,3,
2/25/20,1,
2/26/20,1,
2/27/20,4,
2/28/20,3,
2/29/20,9,
3/1/20,3,
3/2/20,4,
3/3/20,3,
3/4/20,7,
3/5/20,4,
3/6/20,1,
3/7/20,4,
3/8/20,3,
3/9/20,3,
3/10/20,6,
3/11/20,6,
3/12/20,3,
3/13/20,4,
3/14/20,1,
3/15/20,1,
3/16/20,3,
3/17/20,9,
3/18/20,4,
3/19/20,3,
3/20/20,1,
3/21/20,1,
3/22/20,4,
3/23/20,3,
3/24/20,9,
3/25/20,7,
3/26/20,3,
3/27/20,3,
3/28/20,3,
3/29/20,1,
3/30/20,11,
3/31/20,1,
4/1/20,1,
4/2/20,16,
4/3/20,7,
4/4/20,1,
4/5/20,1,
4/6/20,4,
4/7/20,4,
4/8/20,13,
4/9/20,4,
4/10/20,3,
4/11/20,3,
4/12/20,3,
4/13/20,4,
4/14/20,3,
4/15/20,4,
4/16/20,3,
4/17/20,1,
4/18/20,1,
4/19/20,3,
4/20/20,9,
4/21/20,10,
4/22/20,9,
4/23/20,4,
4/24/20,1,
4/25/20,1,
4/26/20,1,
4/27/20,9,
4/28/20,3,
4/29/20,3,
4/30/20,1,
5/1/20,11,
5/2/20,3,
5/3/20,4,
5/4/20,1,
5/5/20,3,
5/6/20,3,
5/7/20,3,
5/8/20,1,
5/9/20,3,
5/10/20,3,
5/11/20,3,
5/12/20,6,
5/13/20,3,
5/14/20,3,
5/15/20,9,
5/16/20,1,
5/17/20,3,
5/18/20,3,
5/19/20,1,
5/20/20,6,
5/21/20,6,
5/22/20,4,
5/23/20,3,
5/24/20,7,
5/25/20,3,
5/26/20,3,
5/27/20,6,
5/28/20,3,
5/29/20,3,
5/30/20,3,
5/31/20,10,
6/1/20,3,
6/2/20,3,
6/3/20,24,
6/4/20,9,
6/5/20,4,
6/6/20,3,
6/7/20,6,
6/8/20,4,
6/9/20,4,
6/10/20,3,
6/11/20,4,
6/12/20,20,
6/13/20,3,
6/14/20,9,
6/15/20,6,
6/16/20,6,
6/17/20,17,
6/18/20,10,
6/19/20,17,
6/20/20,7,
6/21/20,13,
6/22/20,3,
6/23/20,3,
6/24/20,6,
6/25/20,7,
6/26/20,3,
6/27/20,3,
6/28/20,7,
6/29/20,4,
6/30/20,10,
7/1/20,9,
7/2/20,11,
7/3/20,6,
7/4/20,11,
7/5/20,7,
7/6/20,14,
7/7/20,7,
7/8/20,4,
7/9/20,4,
7/10/20,3,
7/11/20,4,
7/12/20,3,
7/13/20,4,
7/14/20,4,
7/15/20,4,
7/16/20,4,
7/17/20,3,
7/18/20,3,
7/19/20,4,
7/20/20,6,
7/21/20,10,
7/22/20,4,
7/23/20,4,
7/24/20,3,
7/25/20,3,
7/26/20,4,
7/27/20,4,
7/28/20,6,
7/29/20,3,
7/30/20,3,
7/31/20,3,
8/1/20,4,
8/2/20,3,
8/3/20,3,
8/4/20,3,
8/5/20,4,
8/6/20,7,
8/7/20,7,
8/8/20,3,
8/9/20,3,
8/10/20,3,
8/11/20,3,
8/12/20,6,
8/13/20,9,
8/14/20,3,
8/15/20,10,
8/16/20,7,
8/17/20,7,
8/18/20,4,
8/19/20,4,
8/20/20,3,
8/21/20,20,
8/22/20,3,
8/23/20,4,
8/24/20,3,
8/25/20,9,
8/26/20,4,
8/27/20,4,
8/28/20,3,
8/29/20,6,
8/30/20,9,
8/31/20,4,
9/1/20,3,
9/2/20,4,
9/3/20,3,
9/4/20,7,
9/5/20,3,
9/6/20,4,
9/7/20,3,
9/8/20,3,
9/9/20,1,
9/10/20,1,
9/11/20,9,
9/12/20,3,
9/13/20,3,
9/14/20,16,
9/15/20,3,
9/16/20,4,
9/17/20,3,
9/18/20,3,
9/19/20,6,
9/20/20,3,
9/21/20,4,
9/22/20,3,
9/23/20,3,
9/24/20,4,
9/25/20,3,
9/26/20,3,
9/27/20,3,
9/28/20,4,
9/29/20,3,
9/30/20,4,
10/1/20,4,
10/2/20,3,
10/3/20,3,
10/4/20,3,
10/5/20,4,
10/6/20,3,
10/7/20,3,
10/8/20,7,
10/9/20,13,
10/10/20,3,
10/11/20,10,
10/12/20,3,
10/13/20,3,
10/14/20,4,
10/15/20,3,
10/16/20,3,
10/17/20,3,
10/18/20,3,
10/19/20,3,
10/20/20,4,
10/21/20,4,
10/22/20,3,
10/23/20,3,
10/24/20,4,
10/25/20,3,
10/26/20,3,
10/27/20,3,
10/28/20,3,
10/29/20,3,
10/30/20,4,
10/31/20,3,
11/1/20,3,
11/2/20,3,
11/3/20,3,
11/4/20,3,
11/5/20,3,
11/6/20,3,
11/7/20,3,
11/8/20,3,
11/9/20,3,
11/10/20,3,
11/11/20,3,
11/12/20,3,
11/13/20,3,
11/14/20,3,
11/15/20,3,
11/16/20,3,
11/17/20,1,
11/18/20,4,
11/19/20,3,
11/20/20,4,
11/21/20,1,
11/22/20,7,
11/23/20,4,
11/24/20,4,
11/25/20,3,
11/26/20,1,
11/27/20,3,
11/28/20,3,
11/29/20,3,
11/30/20,3,
12/1/20,3,
12/2/20,4,
12/3/20,4,
12/4/20,4,
12/5/20,4,
12/6/20,3,
12/7/20,3,
12/8/20,3,
12/9/20,9,
12/10/20,10,
12/11/20,6,
12/12/20,3,
12/13/20,3,
12/14/20,1,
12/15/20,6,
12/16/20,7,
12/17/20,4,
12/18/20,4,
12/19/20,3,
12/20/20,3,
12/21/20,3,
12/22/20,3,
12/23/20,3,
12/24/20,1,
12/25/20,1,
12/26/20,6,
12/27/20,11,
12/28/20,1,
12/29/20,4,
12/30/20,1,
12/31/20,6,
1/1/21,3,
1/2/21,3,
1/3/21,3,
1/4/21,0,
1/5/21,0,
1/6/21,0,
1/7/21,0,
1/8/21,1,
1/9/21,3,
1/10/21,3,
1/11/21,1,
1/12/21,3,
1/13/21,3,
1/14/21,3,
1/15/21,4,
1/16/21,3,
1/17/21,1,
1/18/21,1,
1/19/21,3,
1/20/21,3,
1/21/21,3,
1/22/21,3,
1/23/21,4,
1/24/21,3,
1/25/21,3,
1/26/21,3,
1/27/21,6,
1/28/21,4,
1/29/21,4,
1/30/21,4,
1/31/21,1,
2/1/21,3,
2/2/21,3,
2/3/21,4,
2/4/21,3,
2/5/21,3,
2/6/21,1,
2/7/21,4,
2/8/21,7,
2/9/21,6,
2/10/21,4,
2/11/21,3,
2/12/21,3,
2/13/21,1,
2/14/21,1,
2/15/21,1,
2/16/21,3,
2/17/21,14,
2/18/21,11,
2/19/21,3,
2/20/21,3,
2/21/21,3,
2/22/21,1,
2/23/21,3,
2/24/21,4,
2/25/21,6,
2/26/21,3,
2/27/21,3,
2/28/21,3,
3/1/21,3,
3/2/21,4,
3/3/21,4,
3/4/21,1,
3/5/21,6,
3/6/21,6,
3/7/21,4,
3/8/21,4,
3/9/21,9,
3/10/21,3,
3/11/21,1,
3/12/21,4,
3/13/21,4,
3/14/21,3,
3/15/21,7,
3/16/21,3,
3/17/21,4,
3/18/21,1,
3/19/21,3,
3/20/21,7,
3/21/21,4,
3/22/21,4,
3/23/21,4,
3/24/21,3,
3/25/21,3,
3/26/21,6,
3/27/21,6,
3/28/21,3,
3/29/21,4,
3/30/21,3,
3/31/21,3,
4/1/21,3,
4/2/21,6,
4/3/21,3,
4/4/21,6,
4/5/21,3,
4/6/21,3,
4/7/21,3,
4/8/21,3,
4/9/21,3,
4/10/21,3,
4/11/21,3,
4/12/21,3,
4/13/21,3,
4/14/21,3,
4/15/21,3,
4/16/21,3,
4/17/21,3,
4/18/21,6,
4/19/21,3,
4/20/21,3,
4/21/21,3,
4/22/21,3,
4/23/21,3,
4/24/21,3,
4/25/21,3,
4/26/21,4,
4/27/21,3,
4/28/21,3,
4/29/21,3,
4/30/21,4,
5/1/21,4,
5/2/21,3,
5/3/21,3,
5/4/21,3,
5/5/21,6,
5/6/21,3,
5/7/21,3,
5/8/21,3,
5/9/21,3,
5/10/21,3,
5/11/21,4,
5/12/21,4,
5/13/21,6,
5/14/21,7,
5/15/21,4,
5/16/21,11,
5/17/21,4,
5/18/21,3,
5/19/21,3,
5/20/21,3,
5/21/21,3,
5/22/21,4,
5/23/21,3,
5/24/21,4,
5/25/21,4,
5/26/21,3,
5/27/21,3,
5/28/21,3,
5/29/21,3,
5/30/21,13,
5/31/21,6,
6/1/21,11,
6/2/21,9,
6/3/21,6,
6/4/21,3,
6/5/21,3,
6/6/21,4,
6/7/21,3,
6/8/21,4,
6/9/21,6,
6/10/21,4,
6/11/21,4,
