date,pm,ozone
1/1/20,31,28
1/2/20,38,25
1/3/20,55,24
1/4/20,47,30
1/5/20,29,29
1/6/20,24,28
1/7/20,34,29
1/8/20,31,29
1/9/20,33,26
1/10/20,61,27
1/11/20,27,34
1/12/20,44,29
1/13/20,51,19
1/14/20,61,19
1/15/20,77,22
1/16/20,52,27
1/17/20,30,21
1/18/20,40,25
1/19/20,53,27
1/20/20,51,32
1/21/20,57,34
1/22/20,59,20
1/23/20,59,29
1/24/20,62,18
1/25/20,51,19
1/26/20,47,25
1/27/20,65,26
1/28/20,63,28
1/29/20,64,25
1/30/20,62,19
1/31/20,69,18
2/1/20,59,25
2/2/20,30,34
2/3/20,55,33
2/4/20,19,33
2/5/20,13,35
2/6/20,21,36
2/7/20,52,34
2/8/20,59,33
2/9/20,55,26
2/10/20,57,27
2/11/20,59,32
2/12/20,62,20
2/13/20,36,28
2/14/20,58,25
2/15/20,52,24
2/16/20,66,32
2/17/20,69,29
2/18/20,53,29
2/19/20,38,32
2/20/20,31,33
2/21/20,73,30
2/22/20,48,31
2/23/20,55,34
2/24/20,55,36
2/25/20,38,36
2/26/20,23,33
2/27/20,34,32
2/28/20,29,34
2/29/20,28,33
3/1/20,39,39
3/2/20,39,35
3/3/20,42,36
3/4/20,36,38
3/5/20,35,34
3/6/20,26,38
3/7/20,40,36
3/8/20,38,43
3/9/20,46,32
3/10/20,42,31
3/11/20,65,21
3/12/20,58,31
3/13/20,31,36
3/14/20,26,35
3/15/20,32,36
3/16/20,55,22
3/17/20,52,37
3/18/20,63,26
3/19/20,54,22
3/20/20,32,40
3/21/20,28,40
3/22/20,61,33
3/23/20,60,37
3/24/20,77,44
3/25/20,66,35
3/26/20,58,30
3/27/20,60,30
3/28/20,54,36
3/29/20,24,38
3/30/20,30,41
3/31/20,25,33
4/1/20,57,29
4/2/20,53,36
4/3/20,61,48
4/4/20,32,27
4/5/20,23,42
4/6/20,52,44
4/7/20,62,43
4/8/20,62,37
4/9/20,33,42
4/10/20,35,40
4/11/20,55,48
4/12/20,49,37
4/13/20,31,42
4/14/20,34,38
4/15/20,37,39
4/16/20,35,42
4/17/20,56,43
4/18/20,60,46
4/19/20,39,42
4/20/20,43,46
4/21/20,40,44
4/22/20,54,39
4/23/20,72,31
4/24/20,69,42
4/25/20,59,45
4/26/20,41,44
4/27/20,65,46
4/28/20,63,49
4/29/20,40,38
4/30/20,35,42
5/1/20,49,44
5/2/20,57,51
5/3/20,43,49
5/4/20,25,41
5/5/20,30,42
5/6/20,54,42
5/7/20,33,45
5/8/20,18,36
5/9/20,41,45
5/10/20,30,35
5/11/20,35,33
5/12/20,44,45
5/13/20,52,51
5/14/20,68,42
5/15/20,62,51
5/16/20,58,40
5/17/20,61,42
5/18/20,62,34
5/19/20,58,41
5/20/20,56,47
5/21/20,56,61
5/22/20,64,45
5/23/20,59,47
5/24/20,59,77
5/25/20,57,61
5/26/20,60,50
5/27/20,71,71
5/28/20,47,49
5/29/20,40,64
5/30/20,35,33
5/31/20,25,43
6/1/20,35,45
6/2/20,65,93
6/3/20,43,74
6/4/20,54,112
6/5/20,64,154
6/6/20,51,87
6/7/20,39,64
6/8/20,51,101
6/9/20,47,58
6/10/20,54,44
6/11/20,39,49
6/12/20,39,48
6/13/20,24,37
6/14/20,36,44
6/15/20,38,64
6/16/20,56,100
6/17/20,61,126
6/18/20,63,156
6/19/20,76,164
6/20/20,75,74
6/21/20,55,77
6/22/20,53,80
6/23/20,53,48
6/24/20,40,40
6/25/20,44,97
6/26/20,52,49
6/27/20,40,112
6/28/20,55,77
6/29/20,73,58
6/30/20,63,84
7/1/20,55,108
7/2/20,55,105
7/3/20,69,140
7/4/20,105,77
7/5/20,82,74
7/6/20,69,156
7/7/20,66,136
7/8/20,72,105
7/9/20,64,101
7/10/20,38,45
7/11/20,48,58
7/12/20,33,31
7/13/20,37,48
7/14/20,52,84
7/15/20,54,77
7/16/20,48,74
7/17/20,53,84
7/18/20,67,41
7/19/20,51,37
7/20/20,45,44
7/21/20,38,40
7/22/20,39,44
7/23/20,31,48
7/24/20,44,90
7/25/20,63,112
7/26/20,51,39
7/27/20,43,39
7/28/20,42,45
7/29/20,49,61
7/30/20,36,37
7/31/20,28,34
8/1/20,43,42
8/2/20,48,44
8/3/20,31,24
8/4/20,23,32
8/5/20,38,45
8/6/20,46,67
8/7/20,57,80
8/8/20,55,77
8/9/20,46,64
8/10/20,54,49
8/11/20,40,46
8/12/20,51,84
8/13/20,53,100
8/14/20,54,93
8/15/20,59,129
8/16/20,56,42
8/17/20,54,41
8/18/20,36,28
8/19/20,38,42
8/20/20,43,80
8/21/20,52,101
8/22/20,52,77
8/23/20,54,71
8/24/20,58,93
8/25/20,49,84
8/26/20,62,84
8/27/20,53,45
8/28/20,56,41
8/29/20,43,39
8/30/20,30,36
8/31/20,46,51
9/1/20,43,34
9/2/20,42,43
9/3/20,48,43
9/4/20,39,34
9/5/20,43,42
9/6/20,47,33
9/7/20,35,34
9/8/20,24,26
9/9/20,30,22
9/10/20,18,26
9/11/20,35,31
9/12/20,54,18
9/13/20,44,31
9/14/20,51,31
9/15/20,51,38
9/16/20,53,47
9/17/20,37,30
9/18/20,25,33
9/19/20,48,41
9/20/20,60,45
9/21/20,42,44
9/22/20,53,61
9/23/20,59,48
9/24/20,63,50
9/25/20,57,64
9/26/20,57,33
9/27/20,55,35
9/28/20,31,20
9/29/20,23,15
9/30/20,45,29
10/1/20,25,19
10/2/20,25,31
10/3/20,41,22
10/4/20,36,29
10/5/20,46,33
10/6/20,40,36
10/7/20,49,42
10/8/20,50,31
10/9/20,72,67
10/10/20,53,33
10/11/20,44,30
10/12/20,45,23
10/13/20,34,39
10/14/20,36,44
10/15/20,43,30
10/16/20,40,27
10/17/20,34,34
10/18/20,36,29
10/19/20,50,31
10/20/20,37,31
10/21/20,62,31
10/22/20,41,31
10/23/20,49,22
10/24/20,30,31
10/25/20,42,31
10/26/20,35,26
10/27/20,52,18
10/28/20,56,22
10/29/20,40,31
10/30/20,53,32
10/31/20,38,31
11/1/20,24,27
11/2/20,33,26
11/3/20,56,31
11/4/20,56,41
11/5/20,66,42
